Mumbai Indians - 1st innings,,,,,,,,,,,,
"RG Sharma - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
UT Yadav,5,2,0,0,6,0,1,0,,32,14,228.57
M Morkel,3,3,0,0,0,0,0,0,,3,6,50
Shakib Al Hasan,4,4,0,0,3,0,1,0,,22,12,183.33
SP Narine,8,6,0,0,3,0,1,0,,24,18,133.33
AD Russell,2,5,0,0,0,0,1,0,,11,8,137.5
PP Chawla,2,4,1,0,0,0,0,0,,6,7,85.71
"AJ Finch - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
UT Yadav,1,1,0,0,0,0,0,0,,1,2,50
M Morkel,2,0,0,0,1,0,0,0,caught,4,3,133.33
"AP Tare - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
M Morkel,1,2,0,0,1,0,0,0,,6,4,150
Shakib Al Hasan,2,1,0,0,0,0,0,0,caught,1,3,33.33
"AT Rayudu - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
M Morkel,2,0,0,0,0,0,0,0,caught,0,2,0
"CJ Anderson - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
UT Yadav,0,1,1,0,0,0,0,0,,3,2,150
M Morkel,7,1,0,0,1,0,0,0,,5,9,55.55
Shakib Al Hasan,1,3,2,0,1,0,2,0,,23,9,255.55
SP Narine,2,4,0,0,0,0,0,0,,4,6,66.66
AD Russell,5,4,0,0,0,0,1,0,,10,10,100
PP Chawla,1,2,0,0,2,0,0,0,,10,5,200
Kolkata Knight Riders - 2nd innings,,,,,,,,,,,,
"RV Uthappa - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
SL Malinga,4,1,0,0,0,0,0,0,,1,5,20
R Vinay Kumar,2,1,0,0,0,0,0,0,,1,3,33.33
CJ Anderson,2,1,0,0,0,0,1,0,caught,7,4,175
"G Gambhir - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
SL Malinga,2,1,0,0,0,0,0,0,,1,3,33.33
R Vinay Kumar,7,2,0,0,1,0,0,0,,6,10,60
CJ Anderson,1,1,0,0,0,0,0,0,,1,2,50
JJ Bumrah,3,1,0,0,1,0,0,0,caught,5,5,100
PP Ojha,1,4,2,0,0,0,1,0,,14,8,175
Harbhajan Singh,2,6,2,0,5,0,0,0,,30,15,200
"MK Pandey - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
SL Malinga,1,2,0,0,0,0,1,0,,8,4,200
R Vinay Kumar,0,1,0,0,0,0,0,0,,1,1,100
CJ Anderson,2,1,1,0,1,0,1,0,,13,6,216.66
JJ Bumrah,1,1,0,0,1,0,0,0,,5,3,166.66
PP Ojha,0,3,0,0,0,0,1,0,,9,4,225
Harbhajan Singh,2,4,0,0,0,0,0,0,caught,4,6,66.66
"SA Yadav - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
SL Malinga,1,2,1,0,0,0,1,0,,10,5,200
R Vinay Kumar,1,2,0,0,1,0,1,0,,12,5,240
JJ Bumrah,2,2,0,0,0,0,3,0,,20,7,285.71
Harbhajan Singh,0,2,1,0,0,0,0,0,,4,3,133.33
"YK Pathan - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
SL Malinga,4,2,0,0,1,0,0,0,,6,7,85.71
R Vinay Kumar,1,1,0,0,0,0,0,0,,1,2,50
JJ Bumrah,1,1,0,0,0,0,1,0,,7,3,233.33
Chennai Super Kings - 1st innings,,,,,,,,,,,,
"DR Smith - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
JA Morkel,3,2,0,0,3,0,0,0,,14,8,175
NM Coulter-Nile,3,1,0,0,0,0,0,0,,1,4,25
DJ Muthuswami,5,2,1,0,2,0,0,0,,12,10,120
Imran Tahir,4,1,0,0,1,0,0,0,caught,5,6,83.33
A Mishra,1,2,0,0,0,0,0,0,,2,3,66.66
"BB McCullum - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
NM Coulter-Nile,1,0,0,0,1,0,0,0,caught,4,2,200
"SK Raina - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
NM Coulter-Nile,5,1,0,1,0,0,0,0,bowled,4,7,57.14
"F du Plessis - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
JA Morkel,1,1,1,0,1,0,0,0,,7,4,175
DJ Muthuswami,0,1,0,0,1,0,0,0,,5,2,250
Imran Tahir,1,2,1,0,0,0,0,0,,4,4,100
A Mishra,2,4,2,0,0,0,0,0,,8,8,100
JP Duminy,3,0,2,0,1,0,0,0,caught,8,6,133.33
"RA Jadeja - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
JA Morkel,2,1,0,0,0,0,0,0,,1,3,33.33
Imran Tahir,1,1,0,0,1,0,0,0,,5,3,166.66
A Mishra,5,2,0,0,0,0,1,0,stumped,8,8,100
JP Duminy,1,3,0,0,0,0,0,0,,3,4,75
"MS Dhoni - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
JA Morkel,1,1,0,0,1,0,0,0,,5,3,166.66
NM Coulter-Nile,6,1,0,0,0,0,2,0,caught,13,9,144.44
DJ Muthuswami,2,1,0,0,0,0,0,0,,1,3,33.33
Imran Tahir,2,4,1,0,0,0,0,0,,6,7,85.71
A Mishra,1,2,0,0,0,0,0,0,,2,3,66.66
JP Duminy,0,1,1,0,0,0,0,0,,3,2,150
"DJ Bravo - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
DJ Muthuswami,1,0,0,0,0,0,0,0,lbw,0,1,0
A Mishra,1,1,0,0,0,0,0,0,,1,2,50
"R Ashwin - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
NM Coulter-Nile,0,1,0,0,1,0,0,0,,5,2,250
DJ Muthuswami,2,0,0,0,0,0,0,0,,0,2,0
Imran Tahir,0,1,3,0,0,0,0,0,,7,4,175
"MM Sharma - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
NM Coulter-Nile,0,0,1,0,0,0,0,0,,2,1,200
Delhi Daredevils - 2nd innings,,,,,,,,,,,,
"MA Agarwal - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
A Nehra,6,0,0,0,2,0,0,0,caught,8,8,100
MM Sharma,2,1,0,0,0,0,1,0,,7,4,175
"CM Gautam - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
A Nehra,2,0,1,0,0,0,0,0,caught,2,3,66.66
MM Sharma,0,2,0,0,0,0,0,0,,2,2,100
"JA Morkel - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
A Nehra,1,4,0,0,0,0,0,0,,4,5,80
MM Sharma,2,4,0,0,2,0,0,0,,12,8,150
IC Pandey,5,4,2,0,2,0,0,0,,16,13,123.07
R Ashwin,5,6,1,0,1,0,0,0,,12,13,92.3
DJ Bravo,3,7,2,0,3,0,1,0,,29,16,181.25
"SS Iyer - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
A Nehra,3,1,0,0,1,0,0,0,caught,5,5,100
MM Sharma,0,2,0,0,0,0,0,0,,2,2,100
"KM Jadhav - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
MM Sharma,4,0,0,0,0,0,0,0,caught,0,4,0
IC Pandey,2,3,0,0,1,0,0,0,,7,6,116.66
