SP Narine ,"{'Anureet Singh': [1, 0, 0, 0, 0, 0, 0, 0, 0, 1]}"
CM Gautam ,"{'A Nehra': [2, 0, 1, 0, 0, 0, 0, 0, 2, 3], 'MM Sharma': [0, 2, 0, 0, 0, 0, 0, 0, 2, 2]}"
G Gambhir ,"{'MM Sharma': [5, 2, 0, 0, 0, 0, 1, 0, 8, 8], 'JA Morkel': [0, 1, 0, 0, 0, 0, 0, 0, 1, 1], 'CJ Anderson': [1, 1, 0, 0, 0, 0, 0, 0, 1, 2], 'AR Patel': [3, 1, 0, 0, 0, 0, 0, 0, 1, 4], 'D Wiese': [2, 1, 0, 0, 1, 0, 0, 0, 5, 4], 'A Nehra': [3, 3, 1, 0, 0, 0, 1, 0, 11, 8], 'BE Hendricks': [1, 1, 0, 0, 1, 0, 0, 0, 5, 3], 'DJ Muthuswami': [14, 2, 0, 0, 6, 0, 0, 0, 26, 22], 'MA Starc': [0, 1, 0, 0, 1, 0, 0, 0, 5, 2], 'Harbhajan Singh': [4, 9, 2, 0, 6, 0, 0, 0, 37, 21], 'SL Malinga': [4, 2, 1, 0, 1, 0, 0, 0, 8, 8], 'MJ McClenaghan': [3, 2, 0, 0, 1, 0, 0, 0, 6, 6], 'A Mishra': [0, 10, 2, 0, 0, 0, 0, 0, 14, 12], 'Gurkeerat Singh': [3, 2, 0, 0, 0, 0, 0, 0, 2, 5], 'NM Coulter-Nile': [2, 10, 0, 0, 0, 0, 0, 0, 10, 12], 'Anureet Singh': [10, 2, 0, 0, 3, 0, 0, 0, 14, 15], 'HV Patel': [3, 4, 0, 0, 0, 0, 0, 0, 4, 7], 'Sandeep Sharma': [16, 4, 2, 0, 2, 0, 0, 0, 16, 24], 'AN Ahmed': [2, 5, 0, 0, 1, 0, 0, 0, 9, 8], 'KV Sharma': [1, 0, 1, 0, 0, 0, 0, 0, 2, 2], 'GJ Maxwell': [0, 2, 0, 0, 0, 0, 0, 0, 2, 2], 'B Kumar': [2, 6, 0, 0, 2, 0, 0, 0, 14, 10], 'JP Duminy': [0, 3, 0, 0, 2, 0, 0, 0, 11, 5], 'JJ Bumrah': [3, 1, 0, 0, 1, 0, 0, 0, 5, 5], 'Imran Tahir': [8, 16, 0, 0, 0, 0, 0, 0, 16, 24], 'Z Khan': [4, 2, 0, 0, 0, 0, 0, 0, 2, 6], 'MG Johnson': [2, 2, 0, 0, 0, 0, 0, 0, 2, 4], 'YS Chahal': [3, 3, 2, 0, 1, 0, 0, 0, 11, 9], 'J Suchith': [1, 3, 2, 0, 1, 0, 0, 0, 11, 7], 'DW Steyn': [11, 5, 2, 0, 2, 0, 0, 0, 17, 20], 'AD Mathews': [4, 12, 0, 0, 10, 0, 0, 0, 52, 26], 'CH Morris': [2, 1, 0, 0, 0, 0, 0, 0, 1, 3], 'MC Henriques': [2, 1, 0, 0, 1, 0, 0, 0, 5, 4], 'NLTC Perera': [0, 4, 0, 0, 0, 0, 0, 0, 4, 4], 'PP Ojha': [1, 4, 2, 0, 0, 0, 1, 0, 14, 8], 'DJG Sammy': [1, 2, 0, 0, 1, 0, 0, 0, 6, 4], 'R Vinay Kumar': [8, 5, 0, 0, 2, 0, 0, 0, 13, 15], 'VR Aaron': [7, 3, 1, 0, 3, 0, 0, 0, 17, 14], 'P Kumar': [2, 1, 0, 0, 0, 0, 0, 0, 1, 3], 'SA Abbott': [1, 3, 0, 0, 1, 0, 1, 0, 13, 6], 'IC Pandey': [1, 0, 0, 0, 0, 0, 0, 0, 0, 1]}"
AT Rayudu ,"{'MM Sharma': [5, 7, 0, 0, 0, 0, 5, 0, 37, 17], 'AR Patel': [2, 2, 0, 0, 0, 0, 0, 0, 2, 4], 'D Wiese': [2, 0, 0, 0, 0, 0, 0, 0, 0, 2], 'A Nehra': [1, 3, 1, 0, 0, 0, 2, 0, 17, 7], 'TA Boult': [0, 2, 0, 0, 0, 0, 0, 0, 2, 2], 'AD Mathews': [1, 5, 0, 0, 2, 0, 0, 0, 13, 8], 'A Mishra': [4, 9, 2, 0, 0, 0, 0, 0, 13, 15], 'RA Jadeja': [0, 4, 0, 0, 0, 0, 0, 0, 4, 4], 'DJ Bravo': [9, 19, 1, 0, 2, 0, 1, 0, 35, 32], 'NM Coulter-Nile': [4, 3, 0, 0, 3, 0, 0, 0, 15, 10], 'Anureet Singh': [4, 0, 0, 0, 1, 0, 0, 0, 4, 5], 'HV Patel': [1, 0, 0, 0, 0, 0, 1, 0, 6, 2], 'Sandeep Sharma': [3, 1, 0, 0, 0, 0, 0, 0, 1, 4], 'Ankit Sharma': [1, 5, 1, 0, 0, 0, 0, 0, 7, 7], 'B Kumar': [2, 0, 0, 0, 0, 0, 0, 0, 0, 2], 'TG Southee': [1, 1, 0, 0, 2, 0, 1, 0, 15, 5], 'Imran Tahir': [5, 5, 1, 0, 1, 0, 0, 0, 11, 12], 'P Negi': [3, 1, 0, 0, 0, 0, 1, 0, 7, 5], 'Z Khan': [0, 5, 0, 0, 1, 0, 1, 0, 15, 7], 'MG Johnson': [3, 0, 0, 0, 1, 0, 0, 0, 4, 4], 'YS Chahal': [0, 0, 1, 0, 0, 0, 1, 0, 8, 2], 'DS Kulkarni': [0, 1, 0, 0, 0, 0, 0, 0, 1, 1], 'DW Steyn': [1, 1, 0, 0, 1, 0, 0, 0, 5, 3], 'Shakib Al Hasan': [2, 0, 0, 0, 0, 0, 0, 0, 0, 2], 'STR Binny': [0, 1, 0, 0, 0, 0, 1, 0, 7, 2], 'S Nadeem': [2, 4, 0, 0, 0, 0, 1, 0, 10, 7], 'DR Smith': [3, 2, 4, 0, 0, 0, 1, 0, 16, 10], 'SR Watson': [0, 2, 0, 0, 1, 0, 0, 0, 6, 3], 'J Theron': [1, 5, 1, 0, 1, 0, 1, 0, 17, 9], 'R Dhawan': [0, 2, 0, 0, 1, 0, 0, 0, 6, 3], 'Yuvraj Singh': [1, 2, 0, 0, 0, 0, 0, 0, 2, 3], 'M Morkel': [2, 0, 1, 0, 0, 0, 0, 0, 2, 3], 'IC Pandey': [2, 2, 0, 0, 2, 0, 2, 0, 22, 8]}"
YK Pathan ,"{'MM Sharma': [0, 4, 1, 0, 0, 0, 0, 0, 6, 5], 'JA Morkel': [0, 2, 0, 0, 1, 0, 0, 0, 6, 3], 'Bipul Sharma': [0, 0, 1, 0, 0, 0, 0, 0, 2, 1], 'AR Patel': [9, 4, 0, 0, 0, 0, 2, 0, 16, 15], 'JP Faulkner': [1, 3, 0, 0, 1, 0, 1, 0, 13, 6], 'BE Hendricks': [5, 2, 0, 0, 1, 0, 0, 0, 6, 8], 'MA Starc': [0, 3, 1, 0, 0, 0, 0, 0, 5, 4], 'Harbhajan Singh': [5, 4, 0, 0, 1, 0, 0, 0, 8, 10], 'SL Malinga': [5, 5, 0, 0, 2, 0, 1, 0, 19, 13], 'STR Binny': [2, 1, 0, 0, 2, 0, 0, 0, 9, 5], 'MJ McClenaghan': [1, 4, 0, 0, 1, 0, 0, 0, 8, 6], 'NM Coulter-Nile': [6, 0, 0, 0, 6, 0, 0, 0, 24, 12], 'Gurkeerat Singh': [0, 2, 0, 0, 0, 0, 1, 0, 8, 3], 'RA Jadeja': [2, 1, 0, 0, 0, 0, 0, 0, 1, 3], 'DJ Bravo': [1, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'A Mishra': [14, 8, 3, 0, 5, 0, 1, 0, 40, 31], 'Anureet Singh': [2, 7, 0, 0, 6, 0, 0, 0, 31, 15], 'KA Pollard': [1, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'HV Patel': [1, 2, 0, 0, 0, 0, 1, 0, 8, 4], 'AN Ahmed': [0, 1, 0, 0, 0, 0, 0, 0, 1, 1], 'B Kumar': [4, 6, 1, 0, 2, 0, 0, 0, 16, 13], 'JJ Bumrah': [1, 1, 0, 0, 0, 0, 1, 0, 7, 3], 'Imran Tahir': [3, 8, 1, 0, 3, 0, 3, 0, 40, 18], 'MG Johnson': [4, 8, 0, 0, 2, 0, 0, 0, 16, 14], 'HH Pandya': [0, 1, 0, 0, 0, 0, 0, 0, 1, 1], 'J Suchith': [1, 2, 0, 0, 1, 0, 1, 0, 12, 5], 'DS Kulkarni': [4, 3, 1, 0, 0, 0, 0, 0, 5, 8], 'DW Steyn': [2, 3, 0, 0, 1, 0, 0, 0, 7, 6], 'AD Mathews': [4, 4, 0, 0, 0, 0, 0, 0, 4, 8], 'CH Morris': [2, 4, 0, 0, 1, 0, 0, 0, 8, 7], 'MC Henriques': [3, 2, 0, 1, 1, 0, 0, 0, 9, 7], 'NLTC Perera': [4, 8, 0, 0, 0, 0, 0, 0, 8, 12], 'SR Watson': [2, 2, 0, 0, 1, 0, 0, 0, 6, 5], 'BB Sran': [1, 3, 0, 0, 0, 0, 0, 0, 3, 4], 'SK Raina': [2, 4, 0, 0, 0, 0, 0, 0, 4, 6], 'R Vinay Kumar': [3, 5, 1, 0, 1, 0, 0, 0, 11, 10], 'VR Aaron': [1, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'Yuvraj Singh': [1, 2, 0, 0, 0, 0, 1, 0, 8, 4], 'P Kumar': [2, 0, 4, 0, 0, 0, 0, 0, 8, 6], 'R Ashwin': [2, 0, 1, 0, 0, 0, 0, 0, 2, 3]}"
CH Gayle ,"{'MM Sharma': [6, 3, 2, 0, 1, 0, 0, 0, 11, 12], 'YK Pathan': [2, 7, 0, 0, 1, 0, 2, 0, 23, 12], 'JP Faulkner': [2, 2, 0, 0, 0, 0, 0, 0, 2, 4], 'A Nehra': [6, 1, 0, 0, 0, 0, 1, 0, 7, 8], 'BE Hendricks': [0, 1, 1, 0, 0, 0, 0, 0, 3, 2], 'TA Boult': [3, 1, 1, 0, 0, 0, 1, 0, 9, 6], 'Harbhajan Singh': [4, 4, 0, 0, 0, 0, 0, 0, 4, 8], 'KC Cariappa': [2, 2, 0, 0, 1, 0, 1, 0, 12, 6], 'SL Malinga': [18, 5, 0, 0, 1, 0, 0, 0, 9, 24], 'PP Chawla': [1, 2, 0, 0, 0, 0, 1, 0, 8, 4], 'MJ McClenaghan': [13, 4, 0, 0, 0, 0, 1, 0, 10, 18], 'Karanveer Singh': [0, 2, 0, 0, 1, 0, 2, 0, 18, 5], 'A Mishra': [0, 3, 0, 0, 0, 0, 1, 0, 9, 4], 'AR Patel': [6, 2, 0, 0, 1, 0, 3, 0, 24, 12], 'DJ Bravo': [2, 1, 0, 0, 0, 0, 0, 0, 1, 3], 'NM Coulter-Nile': [8, 3, 1, 0, 2, 0, 1, 0, 19, 15], 'Anureet Singh': [5, 4, 0, 0, 0, 0, 0, 0, 4, 9], 'Sandeep Sharma': [9, 5, 0, 0, 3, 0, 3, 0, 35, 20], 'GB Hogg': [3, 0, 0, 0, 0, 0, 2, 0, 12, 5], 'SP Narine': [8, 5, 1, 0, 2, 0, 0, 0, 15, 16], 'JJ Bumrah': [2, 6, 2, 0, 0, 0, 0, 0, 10, 10], 'GJ Maxwell': [3, 3, 0, 0, 0, 0, 2, 0, 15, 8], 'B Kumar': [6, 0, 0, 0, 5, 0, 2, 0, 32, 13], 'JP Duminy': [1, 1, 0, 0, 1, 0, 0, 0, 5, 3], 'TG Southee': [2, 0, 0, 0, 1, 0, 1, 0, 10, 4], 'PJ Cummins': [0, 3, 0, 0, 0, 0, 0, 0, 3, 3], 'Imran Tahir': [3, 3, 0, 0, 1, 0, 1, 0, 13, 8], 'DJ Muthuswami': [3, 0, 0, 0, 2, 0, 1, 0, 14, 6], 'Z Khan': [1, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'MG Johnson': [4, 2, 0, 0, 3, 0, 3, 0, 32, 12], 'J Yadav': [3, 1, 0, 0, 0, 0, 0, 0, 1, 4], 'DS Kulkarni': [8, 2, 0, 0, 2, 0, 1, 0, 16, 13], 'DW Steyn': [0, 1, 0, 0, 1, 0, 1, 0, 11, 3], 'Shakib Al Hasan': [2, 3, 0, 0, 0, 0, 2, 0, 15, 7], 'AD Mathews': [2, 2, 0, 0, 0, 0, 0, 0, 2, 4], 'CH Morris': [12, 2, 0, 0, 5, 0, 1, 0, 28, 20], 'MC Henriques': [1, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'UT Yadav': [0, 0, 0, 0, 0, 0, 1, 0, 6, 1], 'SR Watson': [5, 1, 0, 0, 0, 0, 0, 0, 1, 6], 'SK Raina': [2, 4, 0, 0, 0, 0, 2, 0, 16, 8], 'R Dhawan': [0, 3, 0, 0, 0, 0, 0, 0, 3, 3], 'P Kumar': [2, 0, 0, 0, 1, 0, 0, 0, 4, 3], 'R Ashwin': [9, 2, 0, 0, 1, 0, 0, 0, 6, 12], 'M Morkel': [2, 3, 0, 0, 2, 0, 1, 0, 17, 8], 'AD Russell': [0, 2, 0, 0, 1, 0, 0, 0, 6, 3]}"
RA Jadeja ,"{'JA Morkel': [2, 1, 0, 0, 0, 0, 0, 0, 1, 3], 'YK Pathan': [1, 4, 0, 0, 0, 0, 0, 0, 4, 5], 'TA Boult': [1, 2, 2, 0, 0, 0, 0, 0, 6, 5], 'MA Starc': [0, 2, 0, 0, 0, 0, 0, 0, 2, 2], 'PP Chawla': [6, 4, 1, 0, 0, 0, 0, 0, 6, 11], 'MJ McClenaghan': [1, 2, 0, 0, 0, 0, 1, 0, 8, 4], 'A Mishra': [5, 2, 0, 0, 0, 0, 1, 0, 8, 8], 'AR Patel': [1, 1, 0, 0, 0, 0, 0, 0, 1, 2], 'GB Hogg': [5, 5, 0, 0, 1, 0, 1, 0, 15, 12], 'Anureet Singh': [1, 2, 0, 0, 1, 0, 0, 0, 6, 4], 'HV Patel': [4, 2, 2, 0, 2, 0, 0, 0, 14, 10], 'Sandeep Sharma': [0, 2, 0, 0, 0, 0, 0, 0, 2, 2], 'B Kumar': [0, 4, 1, 0, 0, 0, 0, 0, 6, 5], 'JP Duminy': [1, 3, 0, 0, 0, 0, 0, 0, 3, 4], 'PJ Cummins': [4, 6, 1, 0, 0, 0, 0, 0, 8, 11], 'Imran Tahir': [1, 1, 0, 0, 1, 0, 0, 0, 5, 3], 'Iqbal Abdulla': [2, 1, 0, 0, 0, 0, 0, 0, 1, 3], 'Z Khan': [0, 1, 0, 0, 0, 0, 0, 0, 1, 1], 'MG Johnson': [0, 0, 1, 1, 1, 0, 0, 0, 9, 3], 'YS Chahal': [3, 2, 0, 0, 0, 0, 0, 0, 2, 5], 'SL Malinga': [0, 4, 0, 0, 0, 0, 0, 0, 4, 4], 'KA Pollard': [0, 2, 2, 0, 1, 0, 0, 0, 10, 5], 'GS Sandhu': [1, 2, 0, 0, 0, 0, 0, 0, 2, 3], 'R Vinay Kumar': [0, 4, 0, 0, 1, 0, 0, 0, 8, 5], 'P Kumar': [1, 2, 0, 0, 0, 0, 0, 0, 2, 3], 'AD Russell': [6, 4, 1, 0, 0, 0, 0, 0, 6, 11]}"
SS Tiwary ,"{'AR Patel': [2, 1, 0, 0, 1, 0, 0, 0, 5, 4], 'D Wiese': [0, 2, 0, 0, 0, 0, 0, 0, 2, 2], 'JP Faulkner': [0, 2, 0, 0, 0, 0, 0, 0, 2, 2], 'MA Starc': [0, 3, 0, 0, 0, 0, 0, 0, 3, 3], 'PP Chawla': [1, 1, 0, 0, 0, 0, 0, 0, 1, 2], 'MJ McClenaghan': [1, 1, 0, 0, 0, 0, 0, 0, 1, 2], 'GB Hogg': [0, 2, 0, 0, 0, 0, 1, 0, 8, 3], 'HV Patel': [0, 1, 0, 0, 0, 0, 1, 0, 7, 2], 'Parvez Rasool': [2, 1, 0, 0, 1, 0, 0, 0, 5, 4], 'KV Sharma': [6, 1, 0, 0, 0, 0, 1, 0, 7, 8], 'RS Bopara': [0, 0, 1, 0, 0, 0, 0, 0, 2, 1], 'TG Southee': [2, 2, 1, 1, 0, 0, 2, 0, 19, 8], 'YS Chahal': [1, 1, 0, 0, 0, 0, 0, 0, 1, 2], 'DS Kulkarni': [0, 3, 0, 0, 1, 0, 0, 0, 7, 4], 'UT Yadav': [3, 2, 0, 0, 3, 0, 0, 0, 14, 8], 'B Kumar': [2, 1, 0, 0, 0, 0, 0, 0, 1, 3], 'SL Malinga': [2, 2, 0, 0, 1, 0, 0, 0, 6, 5], 'MC Henriques': [1, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'R Vinay Kumar': [1, 2, 0, 0, 1, 0, 0, 0, 6, 4], 'P Kumar': [0, 0, 2, 0, 0, 0, 0, 0, 4, 2], 'AD Russell': [1, 1, 0, 0, 0, 0, 0, 0, 1, 2], 'I Sharma': [2, 3, 0, 0, 1, 0, 0, 0, 7, 6]}"
GH Vihari ,"{'MM Sharma': [0, 0, 1, 0, 0, 0, 0, 0, 2, 1], 'DJ Bravo': [1, 2, 0, 0, 1, 0, 0, 0, 6, 4], 'RN ten Doeschate': [1, 1, 0, 0, 0, 0, 0, 0, 1, 2], 'Anureet Singh': [2, 1, 0, 0, 2, 0, 0, 0, 9, 5], 'MG Johnson': [3, 0, 0, 0, 0, 0, 0, 0, 0, 3], 'R Vinay Kumar': [1, 1, 0, 0, 2, 0, 0, 0, 9, 4], 'PP Chawla': [3, 3, 0, 0, 0, 0, 0, 0, 3, 6], 'MJ McClenaghan': [0, 2, 0, 0, 0, 0, 0, 0, 2, 2], 'SL Malinga': [2, 1, 0, 0, 1, 0, 0, 0, 5, 4], 'GB Hogg': [2, 2, 0, 0, 0, 0, 0, 0, 2, 4]}"
S Aravind ,"{'DJ Bravo': [1, 0, 0, 0, 0, 0, 0, 0, 0, 1]}"
