-----------------------------------------------------------------------
A Ashish Reddy 
AB de Villiers
AJ Finch 
AN Ahmed 
AP Tare 
AT Rayudu 
Ajinkya Rahane
Albie Morkel 
Amit Mishra 
Andre Russell 
Angelo Mathews 
Ankit Sharma 
Anureet Singh 
Ashish Nehra 
Axar Patel 
Azhar Mahmood
BE Hendricks 
Bhuvneshwar Kumar 
Bipul Sharma 
Brad Hogg 
Brendon McCullum
CM Gautam 
Chris Gayle 
Chris Morris 
Corey Anderson 
D Wiese 
DJ Hooda 
DJ Muthuswami 
DR Smith 
Dale Steyn 
Darren Sammy 
David Miller
David Warner
Dhawal Kulkarni 
Dinesh Karthik
Dwayne Bravo 
Eoin Morgan
Faf du Plessis
GH Vihari 
Gautam Gambhir
George Bailey
Glenn Maxwell
Gurkeerat Singh 
HH Pandya 
Harbhajan Singh 
Harshal Patel 
Imran Tahir 
Iqbal Abdulla 
J Suchith 
J Theron 
James Faulkner 
Jean-Paul Duminy 
Johan Botha 
KK Nair 
KM Jadhav 
KV Sharma 
Kane Williamson
Karanveer Singh 
Kieron Pollard 
LMP Simmons 
Lasith Malinga 
Lokesh Rahul
M Vijay 
M Vohra 
MEK Hussey 
MJ McClenaghan 
MM Sharma 
MS Bisla 
MS Dhoni
Mandeep Singh 
Manish Pandey
Manoj Tiwary
Mayank Agarwal
Mitchell Johnson 
Mitchell Starc 
Moises Henriques 
Morne Morkel 
NJ Maddinson 
NLTC Perera 
NM Coulter
Naman Ojha
PJ Cummins 
PV Tambe 
Parthiv Patel
Parvez Rasool 
Pawan Negi 
Piyush Chawla 
Praveen Kumar 
Quinton de Kock
R Vinay Kumar 
RG More 
RN ten Doeschate 
RR Rossouw 
RS Bopara 
Rajat Bhatia 
Ravichandran Ashwin 
Ravindra Jadeja 
Robin Uthappa
Rohit Sharma 
S Aravind 
S Gopal 
S Nadeem 
SA Abbott 
SA Yadav 
SE Marsh 
SN Thakur 
SS Iyer 
SS Tiwary 
Sandeep Sharma 
Sanju Samson
Sarfaraz Khan
Shakib Al Hasan 
Shane Watson 
Shikhar Dhawan
Shikhar Dhawan 
Steven Smith
Stuart Binny 
Sunil Narine
Suresh Raina
TG Southee 
UT Yadav 
Unmukt Chand
Varun Aaron 
Virat Kohli 
Virender Sehwag
Wriddhiman Saha
YK Pathan 
Yuvraj Singh 
Yuzvendra Chahal 
