Virat Kohli,RCB,206,193,38,6461,113,41.68,4855,133.07,4,46,605,200,90,0
Varun Aaron,RCB,47,15,9,71,17,11.83,81,87.65,0,0,5,2,2,0
S Badrinath,RCB,137,105,29,2132,71,28.05,1912,111.5,0,13,200,40,27,0
AB de Villiers,RCB,216,200,39,5390,133,33.47,3728,144.58,3,34,456,222,155,16
Chris Gayle,RCB,272,267,37,9668,175,42.03,6417,150.66,18,60,130,98,68,0
Yuzvendra Chahal,RCB,82,16,11,31,10,6.2,41,75.6,0,0,1,0,26,0
Dinesh Karthik,RCB,199,175,22,3682,90,24.06,2884,127.66,0,18,367,99,121,44
Sarfaraz Khan,RCB,24,18,8,248,45,24.8,147,168.7,0,0,24,10,2,0
Harshal Patel,RCB,61,33,10,177,26,7.69,137,129.19,0,0,6,14,17,0
Darren Sammy,RCB,216,181,53,2531,60,19.77,1832,138.15,0,3,170,145,90,0
Mitchell Starc,RCB,85,28,13,124,29,8.26,142,87.32,0,0,11,0,28,0
MS Dhoni,CSK,245,219,87,4954,73,37.53,3648,135.8,0,18,349,208,122,60
Kyle Abbott,CSK,91,30,20,130,16,13,120,108.33,0,0,7,4,25,0
Ravichandran Ashwin,CSK,195,62,28,474,46,13.94,434,109.21,0,0,45,9,43,0
Samuel Badree,CSK,148,42,31,140,29,12.72,161,86.95,0,0,6,4,42,0
Dwayne Bravo,CSK,329,278,75,5125,70,25.24,4103,124.9,0,19,345,228,169,0
Faf du Plessis,CSK,166,152,16,3749,119,27.56,3024,123.97,1,20,328,101,76,0
Brendon McCullum,CSK,251,247,25,6955,158,31.32,5074,137.07,7,33,664,321,105,14
Ravindra Jadeja,CSK,183,129,39,1887,48,20.96,1551,121.66,0,0,135,64,63,0
Pawan Negi,CSK,65,49,22,536,41,19.85,414,129.46,0,0,41,23,26,0
Ashish Nehra,CSK,120,26,13,69,22,5.3,102,67.64,0,0,4,3,25,0
Suresh Raina,CSK,242,228,37,6326,109,33.12,4551,139,3,36,555,246,124,0
Jean-Paul Duminy,DD,210,197,62,5137,99,38.05,4201,122.28,0,33,372,171,79,0
Mayank Agarwal,DD,79,74,5,1568,111,22.72,1233,127.16,1,8,153,59,33,0
Quinton de Kock,DD,120,114,10,3531,126,33.95,2606,135.49,3,18,388,126,69,20
Imran Tahir,DD,134,24,11,118,17,9.07,96,122.91,0,0,12,4,31,0
Zaheer Khan,DD,127,46,25,187,26,8.9,208,89.9,0,0,17,3,26,0
Amit Mishra,DD,168,78,30,649,49,13.52,673,96.43,0,0,62,5,30,0
Angelo Mathews,DD,142,121,34,2277,81,26.17,1870,121.76,0,8,159,73,51,0
Mohammed Shami,DD,52,13,7,22,5,3.66,35,62.85,0,0,1,0,11,0
Albie Morkel,DD,287,231,85,3767,73,25.8,2731,137.93,0,11,237,219,62,0
Yuvraj Singh,DD,187,176,23,4047,83,26.45,3086,131.14,0,23,315,225,43,0
Manoj Tiwary,DD,124,109,28,2399,75,29.61,2117,113.32,0,11,200,53,65,0
George Bailey,KXIP,148,132,32,2838,76,28.38,2166,131.02,0,16,247,84,61,0
Anureet Singh,KXIP,44,18,10,70,16,8.75,86,81.39,0,0,4,3,11,0
Parvinder Awana,KXIP,61,13,8,22,8,4.4,43,51.16,0,0,2,1,10,0
Mitchell Johnson,KXIP,82,46,21,280,30,11.2,270,103.7,0,0,20,9,18,0
Karanveer Singh,KXIP,15,6,4,36,17,18,54,66.66,0,0,3,0,6,0
Shaun Marsh,KXIP,135,133,18,4703,115,40.89,3640,129.2,2,36,440,163,51,0
Glenn Maxwell,KXIP,163,154,15,3304,145,23.76,2114,156.29,1,17,281,174,76,0
David Miller,KXIP,212,193,60,4633,101,34.83,3372,137.39,1,22,337,194,141,0
Axar Patel,KXIP,70,48,15,615,43,18.63,464,132.54,0,0,43,28,23,0
Wriddhiman Saha,KXIP,146,123,27,2383,115,24.82,1824,130.64,1,12,201,90,75,24
Virender Sehwag,KXIP,159,157,6,4061,122,26.89,2747,147.83,2,24,487,147,42,0
